"list","date","vendor","product","price","cat","subcat","feedback","from","to"
"2014-03-01__a5ucCkAMfq.html","2014-03-01","THCXpert","50g Super Amnesia Haze",1.04825559,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    Super fast delivery and good stealth. Good communication. Weight is almost 100% on point.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    kratzen im Hals. Super High, kein Couchdrücker. Versanddauer: 3 Werktage.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      Germany
     ","Germany
    "
"2014-03-01__a6838Z6m7A.html","2014-03-01","Deliverator","LA Confidential -Indoor-1/8th (3.5g+) Top Shelve Indica strain",0.06411398,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    Delivery time lightning fast 3 days.  Moist, dense potent weed...some of the best I've had in years! Thank you!
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    MMMM Danks a lot! ^^
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Quick shipping, good stealth, product looks and smells great! Great vendor!
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    This is the best bud I have had in a long time.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    shipped quickly, arrived quickly, good stealth
                    

                    2 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Exactly as pictured, stealth was top notch. Bud looks great, will be back! THANK YOU!!!
                    

                    3 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    Goods as promised.  3.6g according to my scale.  Good stealth.  Shipping took 9 days.  Would use again.
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Very good vendor! Haven't tried product but it looks good. Great stealth and quick shipping!
                    

                    4 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    good
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    Great stuff. will return
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Nice stealth, great tasting and potent indica smoke.
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fast service. Much appreciated.
                    

                    5 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
","
      USA
    
    ",NA
"2014-03-01__A6CbAgp8dq.html","2014-03-01","Dekay","10 LSD Blotters",0.28860786,"Drugs","Psychedelics","
    Feedbacks:
    No feedbacks found.
","
      Australia
     ","Australia
    "
"2014-03-01__a6MYdsEbt6.html","2014-03-01","NamesRango227","10x Pure Xanny Capsules(8mg each)",0.15315315,"Drugs","Benzos","
    Feedbacks:
    No feedbacks found.
","
      USA
    
    ",NA
"2014-03-01__a6T4B5Gt0t.html","2014-03-01","kwikeemart","30g Beige MDMA",1.13835376,"Drugs","Ecstasy","
    Feedbacks:
    No feedbacks found.
","
      Canada
    
    ",NA
"2014-03-01__a6V1xAqWpa.html","2014-03-01","EuHighz","Xanax (FRONTIN) = alprazolam 0,5 mg - pharmacy grade",0.0036036,"Drugs","Benzos","
    Feedbacks:
    No feedbacks found.
","
     EU
     ","WorldWide
    "
"2014-03-01__A6xXnLZ8Rq.html","2014-03-01","Tr4derJo3","100 x Domino's ~230MG MDMA Dutch XTC Pills",1.07954443,"Drugs","Ecstasy","
    Feedbacks:
    No feedbacks found.
","
      Germany
     ","EU
    "
"2014-03-01__a76csGjPwv.html","2014-03-01","Hackyboy","Carding bases Guide",0.03490584,"Information","Guides","
    Feedbacks:
    
        
            
                
                    5/5
                    good vendor. reactive and good advisor. i'll treat again soon!
                    

                    5 days ago
                    anon [0 deals]
                
            
        
    
","
    
    
    ",NA
"2014-03-01__A7EBBn4N4B.html","2014-03-01","TheWeedGuru","MK Ultra HP 1/2 LB (224g) *********Narcotic High*********",1.87386229,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    everything as expected, all good! top work guru
                    

                    4 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    fantastic service once more! 9gs over-weighed and really nice Buds. Best EU vendor around now for me!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    7 days to Ukraine. Professional yet friendly service. Top vendor.
                    

                    1 days ago
                    anon  ~5/5, 6~10 deals
                
            
        
    
","
     EU
     ","Worldwide
    "
"2014-03-01__A7GkwY8f73.html","2014-03-01","simonlabond","White Widow Hybrid Feminized Autoflower Seeds",0.08944543,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","USA
    "
"2014-03-01__A7htWZxRC5.html","2014-03-01","House_Lannister","1g 84%+ MDA",0.12506029,"Drugs","Ecstasy","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","USA
    "
"2014-03-01__a7KJCluk6p.html","2014-03-01","jackiestovalls","250g FAB-144",1.86567164,"Drugs","Other","
    Feedbacks:
    No feedbacks found.
","
     China
     ","Worldwide
    "
"2014-03-01__a8gCl3hY5T.html","2014-03-01","fake","MONEY LAUNDERING RED FLAGS WIRE TRANSFERS",0.012939,"Information","Guides","
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-03-01__a8NwZJSgSb.html","2014-03-01","mrfields","Private Listing For Drago13",0.39772213,"Drugs","Other","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","USA
    "
"2014-03-01__A8Pi6oMJC0.html","2014-03-01","iLoveTaffy","4g Heroin #4 LEAVING AGORA IN 48 HOURS.  LAST CHANCE DEAL.",0.44391569,"Drugs","Opioids","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","Worldwide
    "
"2014-03-01__a8r0peuEjX.html","2014-03-01","T5_NBOMe","2,500 x 25b-NBOMe HCL Blotters (1,000ug)",1.29406723,"Drugs","Psychedelics","
    Feedbacks:
    No feedbacks found.
","
      Canada
    
    ",NA
"2014-03-01__A93gVuJUVc.html","2014-03-01","Mr.Lewis","50 gr. Pure MDMA Crystals 84%",1.32602545,"Drugs","Ecstasy","
    Feedbacks:
    
        
            
                
                    5/5
                    Shipped to Norway, reached in 5 days. Good stealth and merchandise. AA+
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
","
      Belgium
     ","Worldwide
    "
"2014-03-01__a9f9rdLyca.html","2014-03-01","salamalejkum","3C-P 500 mg HCl",0.09139784,"Drugs","Psychedelics","
    Feedbacks:
    No feedbacks found.
","
     EU
    
    ",NA
"2014-03-01__a9SqM3LcTv.html","2014-03-01","Utopic","14g [Utopic's] TRUSTED Tier 2 Greenhouse 'Mix & Match' (Click for strain list) +10% / FREE S/H",0.21266329,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    FEd as usual for trusted vendor. Arrived in 4 days to east coast. Stealth: 6/5 (best on any  market!) Product: 5/5 Overweight!
                    

                    4 days ago
                    anon [0 deals]
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__a9UUAg80vF.html","2014-03-01","Mr_Nice_Guy","2.5G ★★★AAA+ top grade indoor weed- Northern light ★★★",0.05320658,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    FE. 3 days to receive. Stealth packaging. Weed with fantastic smell and taste but average high. Trustworthy seller!
                    

                    0 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    A++ seller. 5 days domestic (but stamps indicates postal delay). Good packaging, and good product.
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Good seller ! fast and good stealth ! Thanks.
                    

                    2 days ago
                    anon [0 deals]
                
            
        
    
","
      France
     ","worldwide
    "
"2014-03-01__Aa2SYnlZpe.html","2014-03-01","DutchMasters","50 gram pure Cocaine Flakes -- Grade A Quality",7.80526053,"Drugs","Stimulants","
    Feedbacks:
    No feedbacks found.
","
      Netherlands
     ","Worldwide (except: US/NZ/AU/Scandinavia)
    "
"2014-03-01__aa2Uvra866.html","2014-03-01","Mandala","10g  Belladonna; Indoor; Organic; Very Potent;  A+ Quality",0.24694855,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    Fast as hell shipping, excellent stealth packaging, but I expect not grinded buds when I purchase 10g the second time.
                    

                    3 days ago
                    anon  5.0/5, 10~15 deals
                
            
                
                    5/5
                    Sehr Gut Verpackt.Qualität Super.Beautiful Belladonna.Super freundlicher und guter Kontakt.Gerne wieder
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fast delivery, solid stealth packaging, product is excellent. Thanks!
                    

                    6 days ago
                    anon  5.0/5, 10~15 deals
                
            
        
    
","
      Germany
     ","Worldwide except Australia
    "
"2014-03-01__aacAkmjCVl.html","2014-03-01","Baron","1000g 1kg Baron's Afghan Bulk Offer",48.01365721,"Drugs","Opioids","
    Feedbacks:
    No feedbacks found.
","
     EU
     ","Worldwide (OUTSIDE EU REQIRE F/E
    "
"2014-03-01__aACytvrnqL.html","2014-03-01","CannabisKingdomSA","Custom order for Agoraphile - FE selection",0.88132635,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    0/5
                    Nothing here but scams - move along now - there will no NO DRUGS SENT.
                    

                    1 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
","
    
    
    ",NA
"2014-03-01__aaFEVFhplz.html","2014-03-01","SamWalton","1OZ Get 1/2 oz FREE High Grade Mexican Commercial",0.17771143,"Drugs","Cannabis","
    Feedbacks:
    
        
            
                
                    5/5
                    came in 2 days bad thing is that it smelled weird, and now my bud smells like motor oil
                    

                    3 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Great product for the price. Great vendor. Product as described and fast shipping. Highly recommended.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Great for the price for sure, little harsh but it still works good.
                    

                    0 days ago
                    anon  4.5/5, 6~10 deals
                
            
                
                    5/5
                    Great mids - low seed count.  Killer price.  Got 46 grams instead of 28!  Wear gloves when opening, though.
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    3/5
                    Was supposed to be 1 oz. Received 23g
                    

                    3 days ago
                    anon  ~5/5, 6~10 deals
                
            
                
                    5/5
                    ships fast and great communication
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Great product for the price. Will be coming back.
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__AaFy3eieZs.html","2014-03-01","AfghanApothecary","0.2 CRYSTAL METH...HIGHEST QUALITY..24HR UK DELIVERY",0.0698996,"Drugs","Stimulants","
    Feedbacks:
    
        
            
                
                    5/5
                    F-E will update later when product arrives
                    

                    0 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    Second order from this vendor, 5/5 across the board!!
                    

                    4 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Received goods in less than 24h, very clean gear, thanks.
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Fast delivery.  Spot on stealth.  Tried the chyna white and it's pretty good!  The paste stinks too.  Thanks
                    

                    0 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    This lot really are simply the best.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      UK
     ","WORLDWIDE
    "
