"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"JgdUTga","2014-02-02","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, good cookies! Will order again. 1 days ago anon [0 deals] 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 1 days ago anon [0 deals] "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"jWlTKKrF","2014-02-02","medibuds","Bhang Bar Dark Fire Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 simply the best! 1 days ago anon [0 deals] 5/5 On time as always 3 days ago anon [0 deals] 5/5 Love these items. Transaction was perfect. 5 days ago anon ~5/5, 1~2 deals 5/5 A++++, shipped same day ordered, arrived 3 days later. Vendor rocks! 2 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"KZbutBPMK","2014-02-02","Lion","Dark Bhang Chocolate, double strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 As described, good packaging, quick shipping. I'm a happy customer. 2 days ago anon ~5/5, 3~5 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"KqUxYjUxfl","2014-02-02","Lion","Grape Quad Dose Hybrid Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 This vendor is the besstt!!!!!! Super fast, responsible, honest, THE BESSTT 6 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"kxfdVxySru","2014-02-02","Lion","250mg EdiPure LEMON DROPS","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 2 days ago anon ~5/5, 1~2 deals 5/5 Came in fantastically, can't wait to try it! 3 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"lfRMMvnmBf","2014-02-02","Lion","1 Blueberry Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 3/5 little pricey, but taste great and smells amazing. I have a high tolerance, so not much effect, but i expected that. Would rate 3 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"LuqgYYhZ","2014-02-02","SweetMeats","free candy","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Arrived and will test soon. 5 days ago anon ~5/5, 1~2 deals 5/5 Stealth was up to par. Shipping took around a week. The Chocolate bar itself is amazing, tastes really good and has great medic 1 days ago anon [0 deals] 5/5 GREAT VENDOR! The C&C Bar tastes & smells amazing. High quality. Fast & careful shipping. Highly recommended. 3 days ago anon ~5/5, 1~2 deals 5/5 stealth 5/5 and was a pleasant surprise having it arrive at 4:20 EST haha ;) 3 days ago anon ~5/5, 3~5 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"nuvFvTx","2014-02-02","Lion","Ice Bhang Chocolate, Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fantastic shipping! Came in perfectly and very, very pleased! 4 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"nGooNnstn","2014-02-02","Lion","1 Caramel Extra Strength Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Thanks Lion! 4 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"RiDyyRCyzp","2014-02-02","Lion","Sativa Canna Tabs","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, VERY STRONG 3 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
