Date,Price,Open,High,Low,Vol,Change
2015-08-25,39.31,38.18,39.89,38.16,375.65K,2.80%
2015-08-24,38.24,40.3,40.47,37.75,468.37K,-5.46%
2015-08-21,40.45,41.03,41.4,39.86,377.18K,-1.68%
2015-08-20,41.14,40.58,41.48,40.21,24.78K,0.83%
2015-08-19,40.8,42.41,42.68,40.4,107.58K,-4.27%
2015-08-18,42.62,41.88,42.9,41.43,200.19K,1.79%
2015-08-17,41.87,42.18,42.69,41.64,314.28K,-1.48%
2015-08-14,42.5,42.23,42.96,41.35,317.21K,0.64%
2015-08-13,42.23,43.34,43.72,41.91,420.15K,-2.47%
2015-08-12,43.3,43.27,43.87,42.8,492.27K,0.51%
2015-08-11,43.08,44.81,45.34,42.69,538.01K,-4.18%
2015-08-10,44.96,43.58,45.01,43.35,491.43K,2.48%
2015-08-07,43.87,44.82,45.16,43.7,400.07K,-1.77%
2015-08-06,44.66,45.16,45.27,44.2,360.98K,-1.09%
2015-08-05,45.15,45.96,46.7,44.83,367.33K,-1.29%
2015-08-04,45.74,45.35,46.23,45.29,285.79K,1.26%
2015-08-03,45.17,46.86,46.94,45.08,371.09K,-4.14%
2015-07-31,47.12,48.47,48.62,46.7,334.47K,-2.89%
2015-07-30,48.52,48.83,49.36,48.34,247.66K,-0.55%
2015-07-29,48.79,47.81,49.52,47.39,366.89K,1.69%
2015-07-28,47.98,47.02,48.44,46.68,338.11K,1.24%
2015-07-27,47.39,48,48.2,46.91,273.61K,-1.56%
2015-07-24,48.14,48.79,49.03,47.72,278.23K,-0.64%
2015-07-23,48.45,49.23,49.63,48.21,316.06K,-1.50%
2015-07-22,49.19,50.71,50.71,49.04,347.99K,-2.32%
2015-07-21,50.36,49.95,51.02,49.77,23.13K,0.42%
2015-07-20,50.15,50.76,51.26,49.85,102.60K,-1.45%
2015-07-17,50.89,50.91,51.23,50.14,203.49K,-0.04%
2015-07-16,50.91,51.62,52.17,50.84,319.17K,-0.97%
2015-07-15,51.41,53.4,53.5,51.21,334.56K,-3.07%
2015-07-14,53.04,52,53.43,50.88,422.76K,1.61%
2015-07-13,52.2,52.15,53.17,51.26,359.48K,-1.02%
2015-07-10,52.74,52.48,53.89,51.96,349.08K,-0.08%
2015-07-09,52.78,51.83,53.54,51.48,382.33K,2.19%
2015-07-08,51.65,52.91,52.96,50.91,434.75K,-1.30%
2015-07-07,52.33,52.75,53.43,50.58,527.27K,-0.38%
2015-07-06,52.53,56.42,56.79,52.41,540.61K,-5.39%
2015-07-03,55.52,56.6,56.78,55.42,-,-2.48%
2015-07-02,56.93,56.87,57.95,56.5,297.05K,-0.05%
2015-07-01,56.96,58.98,58.98,56.68,373.41K,-4.22%
2015-06-30,59.47,58.27,59.69,57.94,282.48K,1.95%
2015-06-29,58.33,58.84,59.27,58.04,286.04K,-2.18%
2015-06-26,59.63,59.66,59.96,58.76,231.96K,-0.12%
2015-06-25,59.7,60.22,60.46,59.43,222.34K,-0.95%
2015-06-24,60.27,61.14,61.57,59.8,312.99K,-1.21%
2015-06-23,61.01,60.21,61.49,59.55,336.22K,2.23%
2015-06-22,59.68,59.44,60.3,58.93,26.74K,0.12%
2015-06-19,59.61,60.5,60.56,58.88,116.66K,-1.39%
2015-06-18,60.45,59.78,60.89,59.25,181.88K,0.88%
2015-06-17,59.92,60.03,61.38,58.85,396.16K,-0.08%
2015-06-16,59.97,59.6,60.37,59.42,233.94K,0.76%
2015-06-15,59.52,59.9,59.98,58.73,275.19K,-0.73%
2015-06-12,59.96,60.55,60.63,59.73,246.90K,-1.33%
2015-06-11,60.77,61.14,61.53,60.21,352.42K,-1.07%
2015-06-10,61.43,60.58,61.82,60.45,459.77K,2.14%
2015-06-09,60.14,58.31,60.68,58.23,405.49K,3.44%
2015-06-08,58.14,58.96,59.13,57.86,339.85K,-1.67%
2015-06-05,59.13,57.99,59.23,56.83,461.02K,1.95%
2015-06-04,58,59.57,59.94,57.83,363.35K,-2.75%
2015-06-03,59.64,61.02,61.43,59.34,371.30K,-2.64%
2015-06-02,61.26,60.18,61.58,60.09,344.51K,1.76%
2015-06-01,60.2,60.29,60.64,59.33,292.19K,-0.17%
2015-05-29,60.3,57.97,60.7,57.72,452.22K,4.54%
2015-05-28,57.68,57.63,58.07,56.51,340.68K,0.30%
2015-05-27,57.51,58.32,58.95,57.36,314.92K,-0.90%
2015-05-26,58.03,60.05,60.25,57.71,330.13K,-3.03%
2015-05-25,59.85,59.93,60.24,59.11,-,-0.12%
2015-05-24,59.92,60.01,60.01,59.78,-,0.33%
2015-05-22,59.72,60.66,60.8,59.35,230.31K,-1.65%
2015-05-21,60.72,58.81,60.94,58.69,329.77K,2.95%
