Date,Price,Open,High,Low,Vol,Change
2015-09-08,49.52,47.76,49.85,47.64,253.29K,3.97%
2015-09-07,47.63,49.27,49.44,47.5,94.80K,-3.99%
2015-09-04,49.61,50.69,51.05,49.25,221.22K,-2.11%
2015-09-03,50.68,50.58,52.46,49.82,270.54K,0.36%
2015-09-02,50.5,48.62,51,47.74,324.84K,1.90%
2015-09-01,49.56,52.92,53.47,48.47,373.64K,-8.48%
2015-08-31,54.15,50.05,54.32,48.25,321.32K,8.19%
2015-08-28,50.05,47.4,50.98,46.61,418.78K,5.24%
2015-08-27,47.56,43.75,47.75,43.7,333.70K,10.25%
2015-08-26,43.14,43.32,43.76,42.81,267.56K,-0.16%
2015-08-25,43.21,42.79,44.5,42.68,292.10K,1.22%
2015-08-24,42.69,45.35,45.46,42.23,305.73K,-6.09%
2015-08-21,45.46,46.34,46.51,45.07,231.80K,-2.49%
2015-08-20,46.62,47.03,47.38,46.03,221.54K,-1.15%
2015-08-19,47.16,48.5,49.11,46.78,250.81K,-3.38%
2015-08-18,48.81,48.55,49.04,48.25,191.53K,0.14%
2015-08-17,48.74,48.76,49.44,48.35,195.61K,-0.59%
2015-08-14,49.03,49.11,49.52,48.8,21.37K,-0.39%
2015-08-13,49.22,49.82,50.39,48.85,115.92K,-0.89%
2015-08-12,49.66,49.38,50.01,48.72,153.81K,0.98%
2015-08-11,49.18,50.22,51.1,48.61,223.21K,-2.44%
2015-08-10,50.41,48.43,50.49,48.24,208.26K,3.70%
2015-08-07,48.61,49.62,50.06,48.42,245.82K,-1.84%
2015-08-06,49.52,49.72,49.83,48.88,236.36K,-0.14%
2015-08-05,49.59,50.14,50.99,49.02,280.76K,-0.80%
2015-08-04,49.99,49.7,50.45,49.58,221.65K,0.95%
2015-08-03,49.52,51.55,52.01,49.36,306.50K,-5.15%
2015-07-31,52.21,53.43,53.47,51.63,212.82K,-2.06%
2015-07-30,53.31,53.6,54.38,53.02,217.29K,-0.13%
2015-07-29,53.38,52.99,54.33,52.51,290.43K,0.15%
2015-07-28,53.3,53.08,54.08,52.28,290.60K,-0.32%
2015-07-27,53.47,54.45,54.89,52.83,226.37K,-2.11%
2015-07-24,54.62,55.39,55.6,54.3,195.04K,-1.18%
2015-07-23,55.27,56.04,56.53,55.1,207.13K,-1.53%
2015-07-22,56.13,56.88,56.9,55.92,221.46K,-1.60%
2015-07-21,57.04,56.55,57.44,56.33,188.88K,0.69%
2015-07-20,56.65,57.12,57.44,56.33,161.06K,-0.79%
2015-07-17,57.1,56.93,57.35,56.4,157.13K,-0.71%
2015-07-16,57.51,57.31,58.21,56.95,14.29K,0.81%
2015-07-15,57.05,58.63,58.81,56.86,79.69K,-2.50%
2015-07-14,58.51,57.71,58.82,56.43,143.12K,1.14%
2015-07-13,57.85,58.35,58.83,56.84,176.87K,-1.50%
2015-07-10,58.73,58.49,59.66,57.86,154.37K,0.20%
2015-07-09,58.61,57.1,59.27,57.01,277.59K,2.73%
2015-07-08,57.05,57.25,57.75,55.87,301.11K,0.35%
2015-07-07,56.85,56.85,57.83,55.1,331.59K,0.55%
2015-07-06,56.54,60,60,56.38,294.89K,-6.27%
2015-07-03,60.32,61.73,62.06,60.12,107.25K,-2.82%
2015-07-02,62.07,61.92,63.2,61.75,206.00K,0.10%
2015-07-01,62.01,63.02,63.35,61.84,266.62K,-2.48%
2015-06-30,63.59,61.77,63.83,61.71,256.88K,2.55%
2015-06-29,62.01,62.85,62.96,61.35,266.55K,-1.98%
2015-06-26,63.26,63.34,63.62,62.5,212.12K,0.09%
2015-06-25,63.2,63.5,63.95,62.72,213.75K,-0.46%
2015-06-24,63.49,64.66,65.05,63.01,256.39K,-1.49%
2015-06-23,64.45,63.21,64.89,62.76,266.02K,1.75%
2015-06-22,63.34,62.57,63.74,62.1,216.39K,0.51%
2015-06-19,63.02,64.2,64.56,62.34,216.17K,-1.93%
2015-06-18,64.26,63.74,64.96,63.44,217.21K,0.61%
2015-06-17,63.87,63.6,65.47,62.6,331.88K,0.27%
2015-06-16,63.7,63.8,64.41,63.42,279.74K,1.74%
2015-06-15,62.61,63.62,63.96,62.24,26.68K,-1.97%
2015-06-12,63.87,64.87,64.95,63.68,101.41K,-1.90%
2015-06-11,65.11,65.57,66.06,64.5,113.46K,-0.90%
2015-06-10,65.7,65.04,66.36,64.88,210.40K,1.26%
2015-06-09,64.88,62.81,65.23,62.72,223.36K,3.49%
2015-06-08,62.69,63.06,63.38,62.47,205.40K,-0.98%
2015-06-05,63.31,62.08,63.43,60.94,248.87K,2.06%
2015-06-04,62.03,63.81,64.08,61.78,235.21K,-2.77%
2015-06-03,63.8,65.38,65.4,63.5,262.66K,-2.58%
2015-06-02,65.49,64.9,65.88,64.58,245.91K,0.94%
2015-06-01,64.88,65.59,65.8,64.25,217.98K,-1.04%
2015-05-29,65.56,62.89,65.83,62.68,278.46K,4.76%
2015-05-28,62.58,62.2,62.95,61.24,238.59K,0.84%
2015-05-27,62.06,63.89,64.67,61.96,257.06K,-2.61%
2015-05-26,63.72,65.7,65.7,63.29,224.13K,-2.75%
2015-05-25,65.52,65.56,66.22,64.72,41.14K,0.23%
2015-05-22,65.37,66.59,66.64,65.1,184.55K,-1.76%
2015-05-21,66.54,64.89,66.88,64.83,250.91K,2.32%
2015-05-20,65.03,64.49,65.18,64.1,210.40K,1.58%
2015-05-19,64.02,66.19,66.39,63.95,253.35K,-3.40%
2015-05-18,66.27,66.91,67.88,65.92,198.22K,-0.81%
2015-05-15,66.81,66.75,67,65.37,206.14K,0.33%
2015-05-14,66.59,66.54,67.29,66.25,23.19K,-0.33%
