"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"2014-09-26__wntGTswSzA.html","2014-09-26","sweshroom","pepper spray lighter / Looks just like a real lighter",0.0431005,17.32295296,401.92,"Weapons","Melee",NA," Feedbacks: 5/5 very fast, all works. good,good,good 13 days ago anon 1~2 deals 5/5 all good to uk 25 days ago anon ~5/5, 15~25 deals 5/5 Very fast delivery. No problems at all. Thanks. 35 days ago anon ~5/5, 1~2 deals 5/5 couple weeks to uk all good thumbs up 64 days ago anon ~5/5, 15~25 deals 5/5 Very fast delivery and great stuff ! 178 days ago anon ~4/5, 15~25 deals 5/5 Another smooth n quick transaction...great product! 190 days ago anon ~5/5, 3~5 deals 5/5 Legitimate vendor. Revieved quick within Europe (2 days). Thanks! 191 days ago anon [0 deals] 5/5 A+ 193 days ago anon ~5/5, 1~2 deals 5/5 200 days ago anon ~5/5, 3~5 deals 5/5 Great item quick shipping...thanks 209 days ago anon ~5/5, 3~5 deals ","sweden","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","26",1214.1
"2014-11-29__sk4XxcyezT.html","2014-11-29","MagicHat","PayPal Stealth Accounts - The Latest Working Methods",0.03981842,14.9406675524,375.22,"Information","Guides",NA," Feedbacks: No feedbacks found. ","internet","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","29",NA
"2014-05-31__Zk4WSizMpR.html","2014-05-31","mssource","BK-2C-B...!! 5 GRAM",0.50488599,314.6752421274,623.26,"Drugs","Psychedelics","2C"," Feedbacks: No feedbacks found. ","worldwide","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","05","31",NA
"2014-09-12__usT9xqToZc.html","2014-09-12","wakeside917","Transistor (PC)",0.01123519,5.3235700777,473.83,"Data","Pirated",NA," Feedbacks: No feedbacks found. ","usa","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","09","12",1229.9
"2014-09-29__Vh32dE8fnz.html","2014-09-29","HighTimes","5G SUPER SKUNK DISCOUNTED LIMITED WELCOME OFFER",0.14510341,54.3746008293,374.73,"Drugs","Cannabis","Weed"," Feedbacks: 1/5 Nie erhalten .... 50% erstattung fuck you 157 days ago anon 4.80/5, 70~100 deals ","germany","no info",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"2014","09","29",1217.5
"2014-09-29__m7Jk9JZEWR.html","2014-09-29","passman","The Newbie Carders Goldmine",0.05323568,19.9490063664,374.73,"Information","Guides",NA," Feedbacks: 5/5 Thanks passman,!! The best!! 33 days ago anon 6~10 deals 5/5 60 days ago anon ~5/5, 10~15 deals 5/5 good and fast vendor 72 days ago anon ~5/5, 15~25 deals 5/5 awesome, thanks 259 days ago anon ~5/5, 3~5 deals ","no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","29",1217.5
"2014-07-18__zoXr0Fd3xw.html","2014-07-18","WhiteStallion","7G of FISHSCALE Cocaine-$490",0.79281611,498.0629366242,628.22,"Drugs","Stimulants","Cocaine"," Feedbacks: 5/5 Took over a week to the east coast. Matchstick line produced instant euphoria and the numbness creeps in very nicely. Great ven 6 days ago anon 4.69/5, 15~25 deals 4/5 took 9 days from order to door,all powder no rock, not bad coke though not pure fishscale,could smell before opened,but it made 10 days ago anon ~5/5, 3~5 deals 5/5 Super fast shipping. A+ product. 24 days ago anon ~0/5, 1~2 deals 5/5 Awesome stealth. Very good cocaine. All around I'm a happy man, big up the vendor. 44 days ago anon 4.88/5, 40~55 deals 5/5 I apologize for the late finalization could not get to a comp all weekend. This vendor is awesome and one of the quickest ship 49 days ago anon ~5/5, 10~15 deals ","usa","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","07","18",1309.2
"2014-04-06__D56T9b4BKe.html","2014-04-06","GrandWizardsLair","3x5mg DOM",0.04482294,20.649928458,460.7,"Drugs","Psychedelics","Others"," Feedbacks: 5/5 Arrived quickly, with adequate stealth, and vendor is communicative and has a great sense of humor. Cheers. 1 days ago anon ~5/5, 1~2 deals 5/5 Awesome, arrived in a VERY timely fashion and well packaged. Will update once tried! 4 days ago anon ~5/5, 1~2 deals 5/5 Extremely fast shipping and a quality product. Highly recommended 6 days ago anon ~5/5, 1~2 deals 5/5 Updating late cuz agora has been down. FE'd and product arrived SUPER quick! Great stealth. Product definitely legit. Stand-up 4 days ago anon ~5/5, 6~10 deals 5/5 FE, just trusting the vendor. 6 days ago anon ~5/5, 1~2 deals 4/5 Quick shipping. I'd never used DOM before but I was not impressed by 5mg. I'm not saying it's not 5mg, because I don't know. 1 days ago anon ~5/5, 3~5 deals 5/5 Awesome vendor, fast shipping and hidden well. Late to finalize with agora being all funky. 2 days ago anon ~5/5, 1~2 deals 5/5 everything is good! came super fast and had good packaging! 0 days ago anon ~5/5, 1~2 deals 5/5 Shipping was quick enough and product looks awesome. 2 days ago anon 5.00/5, 10~15 deals 5/5 you are the man. they look good and great stealth 3 days ago anon ~5/5, 1~2 deals 5/5 GWL has GREAT communication, FAST SHIPPING, stealthy AS FUUUU - 10/10 GREAT VENDOR 1 days ago anon ~5/5, 3~5 deals ","usa","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","04","06",NA
"2014-11-23__c0SX5ayuPU.html","2014-11-23","profesorhouse","*HOT* -  $$$ Online just HERE - A Wealthy Lifestyle",0.28826955,105.7286228535,366.77,"Other",NA,NA," Feedbacks: No feedbacks found. ","belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","23",NA
"2014-11-14__AM92p3ZetM.html","2014-11-14","blackhand","Body Language: How To Read Others' Thoughts By Their Gestures",0.00376241,1.4990570163,398.43,"Information","eBooks",NA," Feedbacks: 5/5 128 days ago anon ~5/5, 10~15 deals 5/5 Great speed! Can't wait to read! 139 days ago anon ~5/5, 40~55 deals 5/5 Fantastic vendor, thanks! 169 days ago anon 5.00/5, 25~40 deals 5/5 New Biggest Marketplace: http://bigshopcucn64ae6.onion/ 218 days ago anon ~5/5, 1~2 deals 5/5 good vendor 239 days ago anon ~5/5, 10~15 deals 5/5 Good turnaround time. Good product. Will return. 257 days ago anon 4.71/5, 15~25 deals 5/5 Good read! 268 days ago anon ~5/5, 10~15 deals 5/5 275 days ago anon 5.00/5, 15~25 deals 5/5 Thank you. Good read 305 days ago anon ~5/5, 15~25 deals ","internet","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","14",1185
