"count","fitted.values",".fitted",".resid","week","wk",".hat",".sigma",".cooksd",".fitted.1",".stdresid"
33618,25112.9854770897,10.1311403410255,0.306572710905224,2014-10-07,"w1",0.0526315848735653,1.33661820947431,0.00183193240698766,10.1311403410255,0.367563799156002
29122,15590.4122291548,9.654411403598,0.697287793000282,2014-10-14,"w2",0.0556803926520608,1.33429539419045,0.0128113226086887,9.654411403598,0.837358141035991
26111,21478.7747373087,9.97482050497111,0.201860306559105,2014-10-21,"w3",0.0556803926520608,1.33693115984838,0.000790991801095628,9.97482050497111,0.242409766449503
98240,36312.7927481849,10.4999253754739,1.19175441814042,2014-10-28,"w4",0.0556803926520608,1.32875161398673,0.0494601392756328,10.4999253754739,1.43115263763852
68851,31137.3904394859,10.3461646409608,0.913963549786863,2014-11-07,"w1",0.0531490559352776,1.33223928764382,0.023687076916973,10.3461646409608,1.09609136351284
69201,19330.427803361,9.86943570353332,1.61528027853489,2014-11-14,"w2",0.056700984819118,1.32164515887606,0.115516755791299,9.86943570353332,1.94080493775113
69512,26631.3615228058,10.1898448049064,1.14082936802732,2014-11-21,"w3",0.056700984819118,1.32944953786245,0.0449961088031157,10.1898448049064,1.37073875043359
68464,45023.9421664897,10.7149496754092,0.450554146696902,2014-11-28,"w4",0.056700984819118,1.33597043436682,0.00470402405808509,10.7149496754092,0.541353549754684
55065,38340.1401926388,10.5542526731563,0.385243608432794,2014-12-07,"w1",0.0546285902334663,1.33629556760214,0.00316796238391508,10.5542526731563,0.462373460514317
57895,23801.972532184,10.0775237357288,1.04259183191177,2014-12-14,"w2",0.0586674105095759,1.33071183237949,0.0369967300093976,10.0775237357288,1.25401132668607
64826,32791.7696343106,10.3979328371019,0.768595204895222,2014-12-21,"w3",0.0586674105095759,1.33366504669004,0.01720905342551,10.3979328371019,0.924452948003496
99192,55438.9507381259,10.9230377076047,0.644106225213921,2014-12-28,"w4",0.0586674105095759,1.33471004723445,0.0112316807300223,10.9230377076047,0.774719767875194
65290,47537.6340965881,10.7692769730916,0.33502523515043,2015-01-07,"w1",0.0571688233880105,1.33650743631406,0.00244273362663482,10.7692769730916,0.402642154744282
51472,29511.8759432509,10.2925480356641,0.612970164018653,2015-01-14,"w2",0.061710764769465,1.33493527218244,0.0105708711309314,10.2925480356641,0.738464559435732
60830,40658.2536846013,10.6129571370372,0.431851724519026,2015-01-21,"w3",0.061710764769465,1.33606226177747,0.00469920494418033,10.6129571370372,0.52026544228146
81562,68738.3129442442,11.13806200754,0.176075734665718,2015-01-28,"w4",0.061710764769465,1.33698758388962,0.000664450935988764,11.13806200754,0.21212401102003
63124,58941.533446322,10.9843012730269,0.0693473832778196,2015-02-07,"w1",0.060737017606125,1.33714342560078,0.0000944166341867894,10.9843012730269,0.083501670381234
60398,36591.5396512697,10.5075723355994,0.546737948070535,2015-02-14,"w2",0.0657820800929244,1.33538506679592,0.00868934168334514,10.5075723355994,0.660106197240152
49362,50411.8445303944,10.8279814369725,-0.020971701602051,2015-02-21,"w3",0.0657820800929244,1.33716937314543,0.00000890314385665436,10.8279814369725,-0.0253202658477241
63172,85228.0860931143,11.3530863074753,-0.285239979934456,2015-02-28,"w4",0.0657820800929244,1.33668586265303,0.00137483320329728,11.3530863074753,-0.344385603962321
62921,71576.1194257474,11.1785167697427,-0.126171569618458,2015-03-07,"w1",0.0648434571689059,1.33707699214303,0.000295294074175297,11.1785167697427,-0.152257269030985
43576,44435.226892026,10.7017878323152,-0.0194626753096108,2015-03-14,"w2",0.0703429516218233,1.33716972655256,0.00000828864129414262,10.7017878323152,-0.0235559076284012
57789,61218.023923076,11.0221969336883,-0.0570946983670896,2015-03-21,"w3",0.0703429516218233,1.33715243104542,0.0000695512346303643,11.0221969336883,-0.0691023931402926
52345,103497.403476687,11.5473018041911,-0.612293367330353,2015-03-28,"w4",0.0703429516218233,1.3349194724414,0.00541496441999252,11.5473018041911,-0.741065951770478
73219,88746.6597205662,11.393541069678,-0.186358306649745,2015-04-07,"w1",0.0703680934112348,1.33696348988538,0.000678905134018077,11.393541069678,-0.225554727104095
94267,55094.8834923031,10.9168121322505,0.589778599193522,2015-04-14,"w2",0.0763707089694971,1.33506856133292,0.0123256643554609,10.9168121322505,0.716141512724822
5596,75903.7397033344,11.2372212336236,-1.83365146936528,2015-04-21,"w3",0.0763707089694971,1.31669901070433,0.0209198576525472,11.2372212336236,-2.22652015328631
31291,128325.605271687,11.7623261041264,-1.14462305294448,2015-04-28,"w4",0.0763707089694971,1.32923189012301,0.0139413697108099,11.7623261041264,-1.38986407061271
58882,109275.67555565,11.6016291018735,-0.560673560342504,2015-05-07,"w1",0.0766932714326008,1.3352705239928,0.00521095959641835,11.6016291018735,-0.680919489116271
30645,67839.5179293274,11.124900164446,-0.702001744624948,2015-05-14,"w2",0.0831827783831324,1.3341687641046,0.00810228716420622,11.124900164446,-0.855569902583961
11903,93461.911235854,11.4453092658191,-1.54150589446233,2015-05-21,"w3",0.0831827783831324,1.32262800168192,0.020525265935566,11.4453092658191,-1.87872189500378
17183,158010.084563235,11.9704141363219,-1.62940759667899,2015-05-28,"w4",0.0831827783831324,1.32091152342842,0.0214100674399186,11.9704141363219,-1.98585275525919
58683,135490.038745851,11.8166534018088,-0.734662857979673,2015-06-07,"w1",0.0842406697677616,1.3338786505402,0.00879212366419757,11.8166534018088,-0.89589290283794
51713,84113.6773212038,11.3399244643813,-0.450019841560402,2015-06-14,"w2",0.0912332978236381,1.33592771242649,0.00446447990147368,11.3399244643813,-0.550889059894685
47168,115882.678466336,11.6603335657544,-0.782169993478002,2015-06-21,"w3",0.0912332978236382,1.33340956346403,0.0105793241007838,11.6603335657544,-0.957488654035478
62030,195915.443861112,12.1854384362572,-0.966106827588998,2015-06-28,"w4",0.0912332978236382,1.33142766677954,0.0140515849994826,12.1854384362572,-1.18265381402501
33273,166831.805970304,12.0247414340042,-1.27411167881887,2015-07-07,"w1",0.0925233594918682,1.32715084306325,0.0196116985815656,12.0247414340042,-1.56080431688982
