"count","fitted.values",".fitted",".resid","week","month","wk",".hat",".sigma",".cooksd",".stdresid"
29122,25685.2221851429,10.1536710932491,0.128262340304442,2014-10-14,"10","w2",0.291526374859708,1.3638816626521,0.000861212142855239,0.175415922456244
26111,42420.4185507407,10.6553850948956,-0.449003755122322,2014-10-21,"10","w3",0.291526374859708,1.36216973527427,0.00711051314793175,-0.61407274890003
98240,63570.6440810596,11.059907071719,0.469266903241023,2014-10-28,"10","w4",0.291526374859708,1.36199757532136,0.0143071196658748,0.64178531683441
68851,81670.6356422288,11.3104497993786,-0.166025716439487,2014-11-07,"11","w1",0.29040404040404,1.36377937239992,0.00117691009143004,-0.226882757179238
69201,44012.9591084053,10.6922393947274,0.489399068762853,2014-11-14,"11","w2",0.291526374859708,1.36181898075759,0.0157543876927888,0.669318748531284
69512,72689.5852244232,11.1939533963738,-0.0443681879905226,2014-11-21,"11","w3",0.291526374859708,1.36401547912692,0.0000919229427751415,-0.0606794372034397
68464,108931.592581396,11.5984753731973,-0.431083681137308,2014-11-28,"11","w4",0.291526374859708,1.36231564002216,0.00663866750426827,-0.58956464854022
55065,77422.941562999,11.257038418282,-0.322465916830187,2014-12-07,"12","w1",0.29040404040404,1.36307412007368,0.00398334655858668,-0.440666409251303
57895,41723.8427773755,10.6388280136308,0.346461082671062,2014-12-14,"12","w2",0.291526374859708,1.36292418869051,0.00722582575113451,0.473831915647877
64826,68908.9960524221,11.1405420152772,-0.0604644635092217,2014-12-21,"12","w3",0.291526374859708,1.36399988850496,0.000168880676759812,-0.0826932489857643
99192,103266.054689956,11.5450639921006,-0.0399831205688452,2014-12-28,"12","w4",0.291526374859708,1.36401889661137,0.0000748707916562898,-0.0546822704202625
65290,48335.4603988605,10.7859207400186,0.316527146070063,2015-01-07,"01","w1",0.182449494949495,1.36323126494399,0.00278161598791988,0.402981734391937
51472,26048.3664084647,10.1677103353674,0.76802801507958,2015-01-14,"01","w2",0.186938832772166,1.35927652872668,0.0223105744915913,0.98049898317777
60830,43020.1692492768,10.6694243370138,0.367624531791177,2015-01-21,"01","w3",0.186938832772166,1.36294519818397,0.00401394901335253,0.469325952354881
81562,64469.4220633749,11.0739463138372,0.24476301349192,2015-01-28,"01","w4",0.186938832772166,1.36355127272513,0.00164628143204383,0.312475432062837
63124,67247.005809072,11.1161277731877,-0.0626112125760536,2015-02-07,"02","w1",0.182449494949495,1.36400227977409,0.0000849843349946918,-0.0797125154968396
60398,36239.9495677118,10.4979173685365,0.55824707086642,2015-02-14,"02","w2",0.186938832772166,1.36152243665049,0.0104074682374506,0.712683228475433
49362,59852.0743888804,10.999631370183,-0.186700366673718,2015-02-21,"02","w3",0.186938832772166,1.3637530145429,0.000719441056349668,-0.238350055060856
63172,89693.4789537131,11.4041533470064,-0.331200075858571,2015-02-28,"02","w4",0.186938832772166,1.36315027140635,0.00204771840913166,-0.422824859551615
62921,56928.872272198,10.9495579127238,0.101774800798256,2015-03-07,"03","w1",0.182449494949495,1.36395073224704,0.000250468926187175,0.129573043741395
43576,30679.4248348953,10.3313475080726,0.372696391141103,2015-03-14,"03","w2",0.186938832772166,1.36291494490798,0.00413857525638371,0.475800915296055
57789,50668.5919635547,10.833061509719,0.134438191947911,2015-03-21,"03","w3",0.186938832772166,1.36388815377555,0.000462517945733628,0.171629820679818
52345,75931.2410355103,11.2375834865424,-0.350272688554642,2015-03-28,"03","w4",0.186938832772166,1.36304556086674,0.00225981540491786,-0.447173811657357
73219,59707.0553725417,10.9972054728425,0.211183473807509,2015-04-07,"04","w1",0.182449494949495,1.36367654291937,0.00115782066920458,0.268865036084541
94267,32176.6099397928,10.3789950681913,1.30750396216898,2015-04-14,"04","w2",0.186938832772166,1.35020031267205,0.0872096816091322,1.66921815381273
5596,53141.2674319585,10.8807090698378,-1.64694016854459,2015-04-21,"04","w3",0.186938832772166,1.34201920266185,0.0187476686423362,-2.10255762668407
31291,79636.757800788,11.2852310466612,-0.808785289940489,2015-04-28,"04","w4",0.186938832772166,1.35875722753187,0.00863149650799381,-1.03253154679992
58882,71963.8793712735,11.183919596718,-0.194138666482976,2015-05-07,"05","w1",0.182449494949495,1.36373187023881,0.00074708159542085,-0.247164698204211
30645,38781.9104766746,10.5657091920668,-0.226593861509483,2015-05-14,"05","w2",0.186938832772166,1.36362024281714,0.00103099645731085,-0.289279878392655
11903,64050.2489236591,11.0674231937133,-1.31811677133537,2015-05-21,"05","w3",0.186938832772166,1.34997366077665,0.0155245012251638,-1.68276694160692
17183,95984.8044110849,11.4719451705367,-1.34110945727896,2015-05-28,"05","w4",0.186938832772166,1.34947620041477,0.0157857002547836,-1.71212043489828
58683,72206.3201149862,11.1872828572685,-0.200450958029125,2015-06-07,"06","w1",0.182449494949495,1.36371192339058,0.000792999882953786,-0.255201096430515
51713,38912.5637335683,10.5690724526173,0.298535717815223,2015-06-14,"06","w2",0.186938832772166,1.36331597088246,0.00253434858551904,0.381124076222327
47168,64266.0292584572,11.0707864542638,-0.294158688013075,2015-06-21,"06","w3",0.186938832772166,1.36333686717499,0.00165777533318654,-0.375536163820589
62030,96308.1697934108,11.4753084310872,-0.409910452369193,2015-06-28,"06","w4",0.186938832772166,1.36268026381303,0.00296691762232072,-0.523310053605648
33273,92748.0510207786,11.4376419669958,-0.876226584417074,2015-07-07,"07","w1",0.272727272727273,1.35710584501214,0.017560522578567,-1.18276773757256
