Date	Price	Open	High	Low	Change %
Feb 18, 2015	233.21	239.99	241.97	228.51	-2.43%
Feb 17, 2015	239.02	230.31	243.79	229.87	3.46%
Feb 16, 2015	231.02	231.54	237.81	225.00	-0.22%
Feb 15, 2015	231.54	256.64	265.01	222.13	-9.78%
Feb 14, 2015	256.64	232.65	258.84	231.43	10.31%
Feb 13, 2015	232.65	218.30	235.95	216.61	6.57%
Feb 12, 2015	218.30	216.80	219.00	214.39	0.69%
Feb 11, 2015	216.80	218.00	221.00	215.00	-0.55%
Feb 10, 2015	218.00	219.00	221.00	213.00	-0.46%
Feb 09, 2015	219.00	221.58	222.50	213.20	-1.17%
Feb 08, 2015	221.58	223.96	226.88	218.00	-1.06%
Feb 07, 2015	223.96	218.80	226.00	217.72	2.36%
Feb 06, 2015	218.80	215.73	223.00	213.16	1.42%
Feb 05, 2015	215.73	224.62	225.00	212.00	-3.96%
Feb 04, 2015	224.62	223.52	227.86	217.80	0.83%
Feb 03, 2015	222.78	233.34	240.96	220.69	-4.53%
Feb 02, 2015	233.34	221.96	238.76	218.01	5.13%
Feb 01, 2015	221.96	214.60	226.80	208.00	3.72%
Jan 31, 2015	213.99	218.97	227.28	213.00	-2.27%
Jan 30, 2015	218.97	226.28	235.00	216.26	-3.23%
Jan 29, 2015	226.28	222.29	234.00	214.32	1.39%
Jan 28, 2015	223.17	252.59	255.37	212.75	-11.65%
Jan 27, 2015	252.59	262.62	266.13	241.91	-4.20%
Jan 26, 2015	263.65	250.00	304.00	249.45	9.48%
Jan 24, 2015	240.82	228.60	247.23	225.60	5.34%
Jan 23, 2015	228.60	229.50	230.99	221.01	-0.17%
Jan 22, 2015	229.00	223.23	234.50	222.61	2.43%
Jan 21, 2015	223.57	208.53	225.10	207.90	7.21%
Jan 20, 2015	208.53	210.86	211.50	203.33	-1.12%
Jan 19, 2015	210.88	206.32	215.79	205.00	2.21%
Jan 18, 2015	206.32	197.36	217.70	192.00	4.37%
Jan 17, 2015	197.68	204.98	212.00	193.93	-3.56%
Jan 16, 2015	204.98	207.32	219.98	196.01	-1.16%
Jan 15, 2015	207.38	170.00	226.01	168.00	21.99%
