"week","count","wk","month","lm.fitted","qm02.fitted","qm03.fitted","qm04.fitted","qSR202.fitted","jq.fitted","jlm.fitted"
2014-11-21,69512,"w3","11",37437.3761342973,30383.0748603381,72689.5852244232,26631.3615228055,4094.6070568806,33056.1376461393,38523.674259504
2014-11-28,68464,"w4","11",38292.4930009916,31794.4147565226,108931.592581396,45023.9421664891,7259.95152809545,34266.7900900504,39393.9543250535
2014-12-07,55065,"w1","12",39391.9289724557,33705.7487217053,77422.9415629991,38340.1401926382,5627.89763450564,35888.7203413063,40512.8858379027
2014-12-14,57895,"w2","12",40247.04583915,35271.4318568186,41723.8427773756,23801.9725321836,12676454.2942419,37203.1136759166,41383.1659034522
2014-12-21,64826,"w3","12",41102.1627058443,36909.8433475551,68908.9960524222,32791.7696343101,4841.72788112304,38565.6455293049,42253.4459690016
2014-12-28,99192,"w4","12",41957.2795725386,38624.3615363092,103266.054689956,55438.9507381251,8584.63565389371,39978.0789330766,43123.7260345511
2015-01-07,65290,"w1","01",43178.8750963877,41212.7384581599,48335.4603988605,47537.6340965874,6775.37076862181,42086.0422435899,44366.9832710503
2015-01-14,51472,"w2","01",44033.991963082,43127.1326491491,26048.3664084647,29511.8759432504,15261059.005122,43627.4071314718,45237.2633365997
2015-01-21,60830,"w3","01",44889.1088297763,45130.4533530468,43020.1692492768,40658.2536846007,5828.90871259856,45225.2231749136,46107.5434021492
2015-01-28,81562,"w4","01",45744.2256964706,47226.8313412141,64469.4220633749,68738.3129442433,10334.9586730302,46881.557848651,46977.8234676986
2015-02-07,63124,"w1","02",46965.8212203195,50391.6950560692,67247.005809072,58941.5334463211,8108.12370457338,49353.5276511544,48221.0807041978
2015-02-14,60398,"w2","02",47820.9380870138,52732.4656988016,36239.9495677118,36591.5396512691,18262993.7905956,51161.0579048737,49091.3607697473
2015-02-21,49362,"w3","02",48676.0549537081,55181.9686871267,59852.0743888804,50411.8445303937,6975.48732289203,53034.7873904136,49961.6408352967
2015-02-28,63172,"w4","02",49531.1718204024,57745.2548033656,89693.4789537131,85228.0860931131,12367.9022542448,54977.1405973683,50831.9209008462
2015-03-07,62921,"w1","03",50386.2886870967,60427.6094463356,56928.872272198,71576.1194257464,9761.2906104611,56990.6308101676,51702.2009663956
2015-03-14,43576,"w2","03",51241.405553791,63234.5635296434,30679.4248348953,44435.2268920253,21986639.1168278,59077.8633601091,52572.4810319451
2015-03-21,57789,"w3","03",52096.5224204853,66171.9048862191,50668.5919635547,61218.0239230751,8397.72077847436,61241.5389964957,53442.7610974945
2015-03-28,52345,"w4","03",52951.6392871796,69245.690202608,75931.2410355103,103497.403476686,14889.5962301815,63484.4573812346,54313.041163044
2015-04-07,73219,"w1","04",54173.2348110287,73886.1279814841,59707.0553725417,88746.659720565,11681.3905081697,66831.8645233214,55556.2983995432
2015-04-14,94267,"w2","04",55028.351677723,77318.2506574873,32176.6099397928,55094.8834923022,26311532.7404159,69279.5237442027,56426.5784650926
2015-04-21,5596,"w3","04",55883.4685444173,80909.8006358128,53141.2674319585,75903.7397033333,10049.5989420497,71816.8263665409,57296.8585306421
2015-04-28,31291,"w4","04",56738.5854111116,84668.1835563884,79636.757800788,128325.605271685,17818.4622315537,74447.0555023632,58167.1385961915
2015-05-07,58882,"w1","05",57838.0213825756,89758.0452896807,71963.8793712735,109275.675555649,14063.1114717959,77970.8151284868,59286.0701090408
2015-05-14,30645,"w2","05",58693.1382492699,93927.4425907496,38781.9104766746,67839.5179293263,31676196.2253977,80826.4287788042,60156.3501745902
2015-05-21,11903,"w3","05",59548.2551159642,98290.5147183821,64050.2489236591,93461.9112358527,12098.6136085465,83786.6268086274,61026.6302401397
2015-05-28,17183,"w4","05",60403.3719826585,102856.258161935,95984.8044110849,158010.084563233,21451.4719324787,86855.2395303797,61896.9103056891
2015-06-07,58683,"w1","06",61624.9675065076,109749.077986128,72206.3201149862,135490.038745849,16930.4419820435,91434.9407852192,63140.1675421883
2015-06-14,51713,"w2","06",62480.0843732019,114847.089067735,38912.5637335683,84113.6773212025,38134661.9829805,94783.6663896887,64010.4476077377
2015-06-21,47168,"w3","06",63335.2012398962,120181.91049404,64266.0292584572,115882.678466335,14565.4022705757,98255.0361723874,64880.7276732872
2015-06-28,62030,"w4","06",64190.3181065905,125764.542464623,96308.1697934108,195915.44386111,25825.216682001,101853.541870243,65751.0077388366
